p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position
aaronramsey,2017,44,436,1945.0,24,24,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder
aaronramsey,2018,157,436,1418.0,28,31,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder
aaronramsey,2018,157,436,1418.0,28,31,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder
abdelhamidsabiri,2018,95,178,48.0,2,2,282.0,7,1996-11-28,186.0,80.0,Germany,Medium/Medium,70.75,64.0,65.0,Midfielder
aboubakarkamara,2018,42,124,745.0,13,17,1102.0,24,1995-03-07,177.0,78.5,France,High/Medium,75.83333333333333,67.33333333333333,67.33333333333333,Forward
adamfederici,2016,157,365,190.0,2,22,190.0,2,1985-01-31,188.0,90.0,Australia,Medium/Medium,,,72.0,Goalkeeper
adamidah,2019,28,194,273.0,12,17,273.0,12,2001-02-11,190.0,83.0,Republic of Ireland,High/Medium,74.5,63.0,64.0,Forward
adamlallana,2016,63,413,2425.0,31,31,5339.0,101,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder
adamlallana,2017,160,413,285.0,12,14,5339.0,101,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder
adamlallana,2018,142,413,505.0,13,24,5339.0,101,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder
adamlallana,2020,48,413,1693.0,30,31,5339.0,101,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder
adamsmith,2017,49,270,2194.0,27,28,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Defender
adamsmith,2017,49,270,2194.0,27,28,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Goalkeeper
adamsmith,2017,49,270,2194.0,27,28,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Defender
adamsmith,2017,49,270,2194.0,27,28,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Goalkeeper
adamsmith,2018,107,270,2200.0,25,25,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Defender
adamsmith,2018,107,270,2200.0,25,25,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Goalkeeper
adamsmith,2018,107,270,2200.0,25,25,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Defender
adamsmith,2018,107,270,2200.0,25,25,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Goalkeeper
adamsmith,2019,93,270,2155.0,24,24,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Defender
adamsmith,2019,93,270,2155.0,24,24,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Goalkeeper
adamsmith,2019,93,270,2155.0,24,24,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Defender
adamsmith,2019,93,270,2155.0,24,24,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Goalkeeper
adamwebster,2019,31,489,2815.0,31,36,5550.0,60,1995-01-04,190.0,75.0,England,Medium/Medium,66.0,70.83333333333333,70.0,Defender
adamwebster,2020,16,489,2735.0,29,31,5550.0,60,1995-01-04,190.0,75.0,England,Medium/Medium,66.0,70.83333333333333,70.0,Defender
ademolalookman,2018,78,105,701.0,21,30,4069.0,70,1997-10-20,174.0,76.6,England,High/Medium,82.6,58.8,69.4,Forward
ademolalookman,2020,8,105,2872.0,34,34,4069.0,70,1997-10-20,174.0,76.6,England,High/Medium,82.6,58.8,69.4,Forward
adnanjanuzaj,2016,42,272,1715.0,25,31,1715.0,25,1995-02-05,184.0,75.5,Belgium,Medium/Low,78.66666666666667,54.166666666666664,77.5,Midfielder
adrianmariappa,2016,52,52,596.0,7,17,6575.0,81,1986-10-03,179.2,79.4,Jamaica,Medium/Medium,64.8,71.4,72.8,Defender
ahmedelmohamady,2020,54,60,856.0,14,38,4703.0,65,1987-09-09,182.33333333333334,78.0,Egypt,High/Medium,74.5,72.16666666666667,72.33333333333333,Defender
albianajeti,2019,16,32,175.0,9,28,175.0,9,1997-02-26,183.0,77.33333333333333,Switzerland,High/Medium,76.83333333333333,68.83333333333333,69.0,Forward
aleksandarmitrovic,2017,41,96,119.0,6,10,5095.0,70,1994-09-16,188.33333333333334,84.66666666666667,Serbia,Medium/Medium,61.666666666666664,80.83333333333333,76.33333333333333,Forward
aleksandarmitrovic,2020,17,96,1520.0,27,30,5095.0,70,1994-09-16,188.33333333333334,84.66666666666667,Serbia,Medium/Medium,61.666666666666664,80.83333333333333,76.33333333333333,Forward
alexandertettey,2019,46,160,2432.0,30,33,2432.0,30,1986-04-04,180.0,68.0,Norway,Medium/High,67.16666666666667,79.33333333333333,72.66666666666667,Midfielder
alexandrelacazette,2017,44,151,2291.0,32,33,8906.0,128,1991-05-28,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward
alexandrelacazette,2018,19,151,2635.0,35,37,8906.0,128,1991-05-28,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward
alexandrelacazette,2019,48,151,1965.0,30,34,8906.0,128,1991-05-28,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward
alexandrelacazette,2020,1,151,2015.0,31,36,8906.0,128,1991-05-28,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward
alexismacallister,2020,38,38,1178.0,21,30,1550.0,30,1998-12-24,175.0,71.0,Argentina,Medium/Medium,69.5,57.75,70.0,Midfielder
alexiwobi,2016,27,63,1522.0,26,35,8771.0,142,1996-05-03,181.0,73.5,Nigeria,Medium/Medium,77.83333333333333,63.833333333333336,71.83333333333333,Forward
alexiwobi,2018,1,63,2072.0,35,36,8771.0,142,1996-05-03,181.0,73.5,Nigeria,Medium/Medium,77.83333333333333,63.833333333333336,71.83333333333333,Forward
alexiwobi,2019,35,63,1657.0,25,30,8771.0,142,1996-05-03,181.0,73.5,Nigeria,Medium/Medium,77.83333333333333,63.833333333333336,71.83333333333333,Forward
alexmccarthy,2016,291,368,0.0,0,9,9595.0,101,1989-12-03,193.0,79.0,England,Medium/Medium,,,76.0,Goalkeeper
alexmccarthy,2018,52,368,2375.0,25,33,9595.0,101,1989-12-03,193.0,79.0,England,Medium/Medium,,,76.0,Goalkeeper
alexmccarthy,2019,9,368,2660.0,28,36,9595.0,101,1989-12-03,193.0,79.0,England,Medium/Medium,,,76.0,Goalkeeper
alexmccarthy,2020,16,368,2850.0,30,37,9595.0,101,1989-12-03,193.0,79.0,England,Medium/Medium,,,76.0,Goalkeeper
alexpritchard,2017,132,191,1088.0,14,16,3261.0,44,1993-05-03,171.0,62.0,England,High/Medium,70.83333333333333,51.0,72.5,Midfielder
alexpritchard,2018,16,191,2173.0,30,37,3261.0,44,1993-05-03,171.0,62.0,England,High/Medium,70.83333333333333,51.0,72.5,Midfielder
alexsmithies,2018,50,50,0.0,0,26,0.0,0,1990-03-05,188.16666666666666,88.0,England,Medium/Medium,,,71.33333333333333,Goalkeeper
alfiemawson,2018,193,671,1195.0,15,19,7370.0,80,1994-01-19,188.33333333333334,86.0,England,Medium/High,54.166666666666664,71.0,69.83333333333333,Defender
alirezajahanbakhsh,2018,68,201,1075.0,19,24,2008.0,50,1993-08-11,180.0,77.0,Iran,High/High,82.16666666666667,70.16666666666667,74.33333333333333,Forward
alirezajahanbakhsh,2019,31,201,339.0,10,19,2008.0,50,1993-08-11,180.0,77.0,Iran,High/High,82.16666666666667,70.16666666666667,74.33333333333333,Forward
alirezajahanbakhsh,2020,78,201,594.0,21,27,2008.0,50,1993-08-11,180.0,77.0,Iran,High/High,82.16666666666667,70.16666666666667,74.33333333333333,Forward
andrearanocchia,2016,11,50,1404.0,16,16,1404.0,16,1988-02-16,195.0,81.0,Italy,Low/Medium,41.333333333333336,72.66666666666667,75.83333333333333,Defender
andreaschristensen,2017,12,146,2178.0,27,36,6219.0,73,1996-04-10,187.66666666666666,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender
andreaschristensen,2018,15,146,655.0,8,30,6219.0,73,1996-04-10,187.66666666666666,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender
andreaschristensen,2019,40,146,1842.0,21,35,6219.0,73,1996-04-10,187.66666666666666,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender
andreaschristensen,2020,54,146,1544.0,17,23,6219.0,73,1996-04-10,187.66666666666666,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender
andregray,2018,43,102,1465.0,29,30,6251.0,115,1991-06-26,180.0,78.0,England,High/Medium,88.0,73.5,74.5,Forward
andrewrobertson,2016,42,79,2887.0,33,34,15150.0,165,1994-03-11,178.0,63.666666666666664,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender
andrewrobertson,2017,2,79,2038.0,22,27,15150.0,165,1994-03-11,178.0,63.666666666666664,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender
andrewrobertson,2018,20,79,3384.0,36,37,15150.0,165,1994-03-11,178.0,63.666666666666664,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender
andrewrobertson,2019,11,79,3278.0,36,36,15150.0,165,1994-03-11,178.0,63.666666666666664,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender
andrewrobertson,2020,4,79,3563.0,38,38,15150.0,165,1994-03-11,178.0,63.666666666666664,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender
andrewsurman,2016,106,234,1927.0,22,22,5672.0,70,1986-08-20,178.0,73.0,England,Medium/Medium,59.0,69.4,74.8,Midfielder
andrewsurman,2018,82,234,1522.0,18,30,5672.0,70,1986-08-20,178.0,73.0,England,Medium/Medium,59.0,69.4,74.8,Midfielder
andrewsurman,2019,46,234,251.0,5,29,5672.0,70,1986-08-20,178.0,73.0,England,Medium/Medium,59.0,69.4,74.8,Midfielder
andriyyarmolenko,2018,222,419,485.0,9,9,1979.0,47,1989-10-23,189.75,82.5,Ukraine,High/Medium,71.75,71.25,79.25,Forward
andriyyarmolenko,2019,82,419,1061.0,23,24,1979.0,47,1989-10-23,189.75,82.5,Ukraine,High/Medium,71.75,71.25,79.25,Forward
andriyyarmolenko,2020,53,419,433.0,15,25,1979.0,47,1989-10-23,189.75,82.5,Ukraine,High/Medium,71.75,71.25,79.25,Forward
androstownsend,2019,65,65,1379.0,24,29,12810.0,168,1991-07-16,180.0,75.66666666666667,England,High/High,82.83333333333333,65.0,77.33333333333333,Midfielder
andycarroll,2016,285,949,1375.0,18,19,3905.0,82,1989-01-06,192.33333333333334,79.0,England,Medium/High,54.666666666666664,81.83333333333333,76.66666666666667,Forward
andycarroll,2017,99,949,874.0,16,21,3905.0,82,1989-01-06,192.33333333333334,79.0,England,Medium/High,54.666666666666664,81.83333333333333,76.66666666666667,Forward
andycarroll,2018,337,949,505.0,12,16,3905.0,82,1989-01-06,192.33333333333334,79.0,England,Medium/High,54.666666666666664,81.83333333333333,76.66666666666667,Forward
andycarroll,2019,190,949,708.0,19,21,3905.0,82,1989-01-06,192.33333333333334,79.0,England,Medium/High,54.666666666666664,81.83333333333333,76.66666666666667,Forward
andycarroll,2020,38,949,443.0,17,35,3905.0,82,1989-01-06,192.33333333333334,79.0,England,Medium/High,54.666666666666664,81.83333333333333,76.66666666666667,Forward
angelgomes,2018,10,25,35.0,2,3,71.0,5,2000-08-31,168.25,61.0,England,Medium/Medium,74.25,40.75,66.0,Midfielder
angeloogbonna,2016,200,281,1850.0,20,24,12444.0,135,1988-05-23,191.0,86.0,Italy,Medium/Medium,64.66666666666667,75.83333333333333,78.33333333333333,Defender
angeloogbonna,2019,11,281,2937.0,31,36,12444.0,135,1988-05-23,191.0,86.0,Italy,Medium/Medium,64.66666666666667,75.83333333333333,78.33333333333333,Defender
angeloogbonna,2020,70,281,2628.0,28,29,12444.0,135,1988-05-23,191.0,86.0,Italy,Medium/Medium,64.66666666666667,75.83333333333333,78.33333333333333,Defender
anthonyknockaert,2020,20,38,0.0,0,3,4521.0,63,1991-11-20,172.0,69.0,France,High/High,74.5,64.16666666666667,74.83333333333333,Midfielder
anthonymartial,2016,7,285,1582.0,25,31,9291.0,136,1995-12-05,183.4,76.0,France,Medium/Low,89.6,73.0,82.8,Forward
anthonymartial,2017,14,285,1671.0,30,34,9291.0,136,1995-12-05,183.4,76.0,France,Medium/Low,89.6,73.0,82.8,Forward
anthonymartial,2018,55,285,1704.0,27,30,9291.0,136,1995-12-05,183.4,76.0,France,Medium/Low,89.6,73.0,82.8,Forward
anthonymartial,2019,74,285,2723.0,32,32,9291.0,136,1995-12-05,183.4,76.0,France,Medium/Low,89.6,73.0,82.8,Forward
anthonymartial,2020,135,285,1611.0,22,23,9291.0,136,1995-12-05,183.4,76.0,France,Medium/Low,89.6,73.0,82.8,Forward
antoneerobinson,2020,10,194,2338.0,28,31,2338.0,28,1997-08-08,182.0,67.0,United States,Medium/Medium,85.5,63.25,68.0,Defender
anwarelghazi,2019,14,25,2148.0,34,37,3848.0,62,1995-05-03,189.0,88.83333333333333,Netherlands,Medium/Low,78.83333333333333,70.16666666666667,74.83333333333333,Midfielder
arongunnarsson,2018,79,332,2368.0,28,31,2368.0,28,1989-04-22,177.4,76.4,Iceland,Medium/High,61.8,75.6,70.8,Midfielder
arthurmasuaku,2016,160,321,1026.0,13,16,6938.0,92,1993-11-07,179.0,70.0,DR Congo,High/Medium,85.0,71.5,75.66666666666667,Defender
arthurmasuaku,2018,40,321,1862.0,23,35,6938.0,92,1993-11-07,179.0,70.0,DR Congo,High/Medium,85.0,71.5,75.66666666666667,Defender
arthurmasuaku,2019,24,321,1030.0,17,24,6938.0,92,1993-11-07,179.0,70.0,DR Congo,High/Medium,85.0,71.5,75.66666666666667,Defender
arthurmasuaku,2020,97,321,1045.0,12,12,6938.0,92,1993-11-07,179.0,70.0,DR Congo,High/Medium,85.0,71.5,75.66666666666667,Defender
arturboruc,2016,13,13,3325.0,35,35,4465.0,47,1980-02-20,193.0,87.16666666666667,Poland,Medium/Medium,,,75.33333333333333,Goalkeeper
ashleybarnes,2016,96,468,1861.0,28,28,9479.0,142,1989-10-30,186.0,80.16666666666667,Austria,High/High,65.33333333333333,79.66666666666667,74.66666666666667,Forward
ashleybarnes,2017,64,468,2302.0,36,37,9479.0,142,1989-10-30,186.0,80.16666666666667,Austria,High/High,65.33333333333333,79.66666666666667,74.66666666666667,Forward
ashleybarnes,2019,299,468,1396.0,19,19,9479.0,142,1989-10-30,186.0,80.16666666666667,Austria,High/High,65.33333333333333,79.66666666666667,74.66666666666667,Forward
ashleybarnes,2020,9,468,1396.0,22,25,9479.0,142,1989-10-30,186.0,80.16666666666667,Austria,High/High,65.33333333333333,79.66666666666667,74.66666666666667,Forward
ashleywestwood,2019,24,36,3325.0,35,35,11680.0,135,1990-04-01,172.16666666666666,70.0,England,Medium/Medium,62.5,69.33333333333333,75.5,Defender
ashleywestwood,2019,24,36,3325.0,35,35,11680.0,135,1990-04-01,172.16666666666666,70.0,England,Medium/Medium,62.5,69.33333333333333,75.5,Midfielder
ashleywestwood,2020,12,36,3596.0,38,38,11680.0,135,1990-04-01,172.16666666666666,70.0,England,Medium/Medium,62.5,69.33333333333333,75.5,Defender
ashleywestwood,2020,12,36,3596.0,38,38,11680.0,135,1990-04-01,172.16666666666666,70.0,England,Medium/Medium,62.5,69.33333333333333,75.5,Midfielder
ashleyyoung,2016,118,125,804.0,12,21,7134.0,84,1985-07-09,175.0,65.0,England,High/Medium,76.16666666666667,64.0,78.0,Defender
ashleyyoung,2018,7,125,2752.0,30,36,7134.0,84,1985-07-09,175.0,65.0,England,High/Medium,76.16666666666667,64.0,78.0,Defender
asmirbegovic,2018,13,17,2280.0,24,36,6080.0,64,1987-06-20,199.33333333333334,86.0,Bosnia Herzegovina,Medium/Medium,,,79.33333333333333,Goalkeeper
axeltuanzebe,2019,113,333,210.0,5,14,955.0,18,1997-11-14,185.0,73.2,England,Medium/Medium,76.4,72.6,71.8,Defender
axeltuanzebe,2020,123,333,427.0,8,30,955.0,18,1997-11-14,185.0,73.2,England,Medium/Medium,76.4,72.6,71.8,Defender
aymericlaporte,2018,14,358,3227.0,35,36,6636.0,75,1994-05-27,189.0,85.0,France,Medium/Medium,66.5,79.0,84.66666666666667,Defender
aymericlaporte,2019,281,358,1139.0,15,17,6636.0,75,1994-05-27,189.0,85.0,France,Medium/Medium,66.5,79.0,84.66666666666667,Defender
aymericlaporte,2020,28,358,1423.0,16,28,6636.0,75,1994-05-27,189.0,85.0,France,Medium/Medium,66.5,79.0,84.66666666666667,Defender
bacarysagna,2016,163,254,1425.0,17,24,1425.0,17,1983-02-14,176.0,72.5,France,High/Medium,70.25,77.25,77.0,Defender
bakarysako,2016,79,350,171.0,7,21,753.0,27,1988-04-26,183.66666666666666,90.33333333333333,Mali,High/Medium,80.0,76.0,74.0,Midfielder
bakarysako,2017,255,350,538.0,16,20,753.0,27,1988-04-26,183.66666666666666,90.33333333333333,Mali,High/Medium,80.0,76.0,74.0,Midfielder
bakarysako,2018,16,350,44.0,4,7,753.0,27,1988-04-26,183.66666666666666,90.33333333333333,Mali,High/Medium,80.0,76.0,74.0,Midfielder
bartoszkapustka,2016,2,282,0.0,0,8,0.0,0,1996-12-23,179.0,67.0,Poland,Medium/Medium,78.0,53.5,69.33333333333333,Midfielder
bastianschweinsteiger,2016,9,38,0.0,0,4,0.0,0,1984-08-01,183.0,79.0,Germany,Medium/Medium,42.6,74.8,81.2,Midfielder
benchilwell,2016,63,254,754.0,12,27,11053.0,126,1996-12-21,178.0,75.16666666666667,England,High/High,77.33333333333333,67.83333333333333,72.5,Defender
benchilwell,2017,59,254,1979.0,24,32,11053.0,126,1996-12-21,178.0,75.16666666666667,England,High/High,77.33333333333333,67.83333333333333,72.5,Defender
benchilwell,2018,24,254,3420.0,36,36,11053.0,126,1996-12-21,178.0,75.16666666666667,England,High/High,77.33333333333333,67.83333333333333,72.5,Defender
benchilwell,2019,31,254,2500.0,27,28,11053.0,126,1996-12-21,178.0,75.16666666666667,England,High/High,77.33333333333333,67.83333333333333,72.5,Defender
benchilwell,2020,77,254,2400.0,27,34,11053.0,126,1996-12-21,178.0,75.16666666666667,England,High/High,77.33333333333333,67.83333333333333,72.5,Defender
bendavies,2016,42,330,1845.0,23,34,9213.0,117,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender
bendavies,2016,42,330,1845.0,23,34,9213.0,117,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender
bendavies,2016,42,330,1845.0,23,34,9213.0,117,1993-04-24,181.66666666666666,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender
bendavies,2016,42,330,1845.0,23,34,9213.0,117,1993-04-24,181.66666666666666,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender
bendavies,2016,42,330,1845.0,23,34,9213.0,117,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender
bendavies,2016,42,330,1845.0,23,34,9213.0,117,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender
bendavies,2018,32,330,1964.0,27,34,9213.0,117,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender
bendavies,2018,32,330,1964.0,27,34,9213.0,117,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender
bendavies,2018,32,330,1964.0,27,34,9213.0,117,1993-04-24,181.66666666666666,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender
bendavies,2018,32,330,1964.0,27,34,9213.0,117,1993-04-24,181.66666666666666,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender
bendavies,2018,32,330,1964.0,27,34,9213.0,117,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender
bendavies,2018,32,330,1964.0,27,34,9213.0,117,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender
bendavies,2019,153,330,1508.0,18,24,9213.0,117,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender
bendavies,2019,153,330,1508.0,18,24,9213.0,117,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender
bendavies,2019,153,330,1508.0,18,24,9213.0,117,1993-04-24,181.66666666666666,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender
bendavies,2019,153,330,1508.0,18,24,9213.0,117,1993-04-24,181.66666666666666,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender
bendavies,2019,153,330,1508.0,18,24,9213.0,117,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender
bendavies,2019,153,330,1508.0,18,24,9213.0,117,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender
bendavies,2020,103,330,1440.0,20,33,9213.0,117,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender
bendavies,2020,103,330,1440.0,20,33,9213.0,117,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender
bendavies,2020,103,330,1440.0,20,33,9213.0,117,1993-04-24,181.66666666666666,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender
bendavies,2020,103,330,1440.0,20,33,9213.0,117,1993-04-24,181.66666666666666,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender
bendavies,2020,103,330,1440.0,20,33,9213.0,117,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender
bendavies,2020,103,330,1440.0,20,33,9213.0,117,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender
bengibson,2018,89,277,63.0,1,24,3673.0,39,1993-01-15,185.0,78.0,England,Medium/Medium,57.166666666666664,69.16666666666667,70.66666666666667,Defender
bengibson,2019,188,277,0.0,0,11,3673.0,39,1993-01-15,185.0,78.0,England,Medium/Medium,57.166666666666664,69.16666666666667,70.66666666666667,Defender
bengodfrey,2019,44,55,2805.0,30,31,5643.0,61,1998-01-15,183.33333333333334,74.66666666666667,England,Medium/High,68.33333333333333,72.5,64.16666666666667,Defender
bengodfrey,2020,11,55,2838.0,31,33,5643.0,61,1998-01-15,183.33333333333334,74.66666666666667,England,Medium/High,68.33333333333333,72.5,64.16666666666667,Defender
benhamer,2016,171,239,0.0,0,8,877.0,11,1987-11-20,192.5,86.66666666666667,England,Medium/Medium,,,66.83333333333333,Goalkeeper
benhamer,2018,68,239,583.0,7,33,877.0,11,1987-11-20,192.5,86.66666666666667,England,Medium/Medium,,,66.83333333333333,Goalkeeper
benikafobe,2017,21,310,593.0,17,21,2116.0,48,1993-02-12,183.0,77.66666666666667,DR Congo,High/Medium,79.66666666666667,70.83333333333333,72.5,Forward
benjaminmendy,2017,247,778,391.0,7,8,3902.0,49,1994-07-17,185.0,83.33333333333333,France,High/Medium,79.66666666666667,77.66666666666667,78.5,Defender
benjaminmendy,2018,351,778,950.0,10,11,3902.0,49,1994-07-17,185.0,83.33333333333333,France,High/Medium,79.66666666666667,77.66666666666667,78.5,Defender
benjaminmendy,2019,58,778,1561.0,19,27,3902.0,49,1994-07-17,185.0,83.33333333333333,France,High/Medium,79.66666666666667,77.66666666666667,78.5,Defender
benjaminmendy,2020,58,778,1000.0,13,32,3902.0,49,1994-07-17,185.0,83.33333333333333,France,High/Medium,79.66666666666667,77.66666666666667,78.5,Defender
benjohnson,2018,7,7,63.0,1,1,924.0,18,2000-01-24,177.5,68.5,England,High/Medium,69.0,53.5,58.5,Defender
benmee,2017,57,189,2755.0,29,29,15424.0,163,1989-09-23,181.0,78.0,England,Medium/High,65.0,78.83333333333333,76.83333333333333,Defender
benmee,2020,132,189,2839.0,30,30,15424.0,163,1989-09-23,181.0,78.0,England,Medium/High,65.0,78.83333333333333,76.83333333333333,Defender
benosborn,2020,24,24,1691.0,24,34,2330.0,36,1994-08-05,174.83333333333334,73.66666666666667,England,High/High,77.83333333333333,57.0,70.33333333333333,Midfielder
benwatson,2016,92,92,85.0,4,19,561.0,12,1985-07-09,179.8,75.6,England,Low/High,51.6,68.8,71.8,Midfielder
benwilmot,2018,23,23,36.0,2,7,36.0,2,1999-11-04,188.0,80.0,England,Medium/Medium,51.0,63.25,58.5,Defender
